GEOID,eff_cameras_within_200m,eff_cameras,cameras_within_200m,cameras
36047045400,1.5980742652372013,0.523228348380493,2,2
36047045600,3.3532562189777537,1.0508471823028123,3,2
36047045800,3.9534203981020664,0.04253641343369592,4,0
36047046000,4.526055543987848,0.9068860872706762,8,0
36047046201,4.8050214766042485,1.5678434673481414,5,3
36047046202,3.3191432394267624,0.4708642981727752,4,0
36047046400,4.1321770973533,1.725802956289935,4,2
36047046800,4.303234521491472,1.5893516216705676,5,1
36047047000,3.4501448040859453,1.575377322529094,4,3
36047047200,5.269815349995494,0.41762128092480566,7,0
36047047400,7.008057913107713,2.223064770143233,7,2
36047047600,7.985958577403709,2.3802410150797124,8,3
36047047700,2.4673422287434303,1.0166633434894938,4,1
36047047800,4.561165274906808,2.015360371896252,5,2
36047048000,4.978676310233176,1.241506448890322,5,1
36047048100,2.6432763380251636,0.2704159635260417,2,0
36047048200,1.5857545962899657,0.16879690846386922,1,0
36047048400,2.6103899131272987,0.5362890220715286,3,1
36047048500,10.212349103727428,4.504366561924651,15,9
36047048600,3.8514593455000847,1.9078137001728295,5,5
36047048800,2.8513326113379045,0.09292711251387428,5,0
36047048900,5.761389655365955,1.2326409852338212,13,2
36047049000,1.1580751613844464,0.4632541144287612,1,0
36047049100,6.473222892560871,2.7278053949027887,14,7
36047049200,1.8959180653484904,0.2078059994848664,2,0
36047049300,7.742543242027085,1.4076794616273274,15,1
36047049400,2.5589296715974377,0.6080956552217565,3,1
36047049500,2.9855585596008707,1.895262640839581,4,3
36047049600,4.77040638665474,1.1318469214494093,8,0
36047049700,1.4736192959091052,0,1,0
36047049800,2.7301593871553456,0.4060935729142502,4,2
36047049900,1.3734508346949994,0,0,0
36047050000,2.2236526382444235,1.0071823243231912,3,1
36047050100,1.1446891612873382,0.4812879806820308,1,0
36047050202,0.9964666999912695,0.036046612915875194,1,0
36047050300,1.1189130768603717,0,2,0
36047050400,3.2227225197294027,0.7176560475219549,4,2
36047050500,3.778264782342935,0.6174996212459124,6,1
36047050600,4.135483404711302,1.4845505092277396,7,5
