GEOID,NAME,variable,estimate,moe
36005006300,"Census Tract 63, Bronx County, New York",asian,62,43
36005006300,"Census Tract 63, Bronx County, New York",latino,2843,330
36005006300,"Census Tract 63, Bronx County, New York",med_inc,37306,7217
36005006400,"Census Tract 64, Bronx County, New York",male,1932,407
36005006400,"Census Tract 64, Bronx County, New York",female,2000,298
36005006400,"Census Tract 64, Bronx County, New York",total_pop,3932,495
36005006400,"Census Tract 64, Bronx County, New York",white,194,201
36005006400,"Census Tract 64, Bronx County, New York",black,1418,333
36005006400,"Census Tract 64, Bronx County, New York",asian,192,172
36005006400,"Census Tract 64, Bronx County, New York",latino,1967,477
36005006400,"Census Tract 64, Bronx County, New York",med_inc,38415,7164
36005006500,"Census Tract 65, Bronx County, New York",male,2940,446
36005006500,"Census Tract 65, Bronx County, New York",female,2437,363
36005006500,"Census Tract 65, Bronx County, New York",total_pop,5377,593
36005006500,"Census Tract 65, Bronx County, New York",white,298,253
36005006500,"Census Tract 65, Bronx County, New York",black,1286,394
36005006500,"Census Tract 65, Bronx County, New York",asian,113,138
36005006500,"Census Tract 65, Bronx County, New York",latino,3662,647
36005006500,"Census Tract 65, Bronx County, New York",med_inc,25467,5352
36005006700,"Census Tract 67, Bronx County, New York",male,3450,527
36005006700,"Census Tract 67, Bronx County, New York",female,3255,490
36005006700,"Census Tract 67, Bronx County, New York",total_pop,6705,746
36005006700,"Census Tract 67, Bronx County, New York",white,18,28
36005006700,"Census Tract 67, Bronx County, New York",black,1604,568
36005006700,"Census Tract 67, Bronx County, New York",asian,0,17
36005006700,"Census Tract 67, Bronx County, New York",latino,5018,783
36005006700,"Census Tract 67, Bronx County, New York",med_inc,19813,7803
36005006800,"Census Tract 68, Bronx County, New York",male,1671,319
36005006800,"Census Tract 68, Bronx County, New York",female,1559,195
36005006800,"Census Tract 68, Bronx County, New York",total_pop,3230,384
36005006800,"Census Tract 68, Bronx County, New York",white,0,12
36005006800,"Census Tract 68, Bronx County, New York",black,844,211
36005006800,"Census Tract 68, Bronx County, New York",asian,416,183
36005006800,"Census Tract 68, Bronx County, New York",latino,1899,365
36005006800,"Census Tract 68, Bronx County, New York",med_inc,54395,9638
36005006900,"Census Tract 69, Bronx County, New York",male,3592,460
36005006900,"Census Tract 69, Bronx County, New York",female,4209,520
36005006900,"Census Tract 69, Bronx County, New York",total_pop,7801,742
36005006900,"Census Tract 69, Bronx County, New York",white,313,280
36005006900,"Census Tract 69, Bronx County, New York",black,2853,785
36005006900,"Census Tract 69, Bronx County, New York",asian,30,72
36005006900,"Census Tract 69, Bronx County, New York",latino,4462,607
36005006900,"Census Tract 69, Bronx County, New York",med_inc,37590,11520
36005007000,"Census Tract 70, Bronx County, New York",male,2172,300
36005007000,"Census Tract 70, Bronx County, New York",female,2206,328
36005007000,"Census Tract 70, Bronx County, New York",total_pop,4378,537
