GEOID,NAME,med.income,popn,popn.asian,popn.black,popn.female,popn.hispanic,popn.male,popn.white
36047041900,"Census Tract 419, Kings County, New York",56550,3623,216,977,1937,2279,1686,1074
36047042000,"Census Tract 420, Kings County, New York",58571,1837,22,105,910,155,927,1686
36047042100,"Census Tract 421, Kings County, New York",51341,4259,88,551,2077,2855,2182,1574
36047042200,"Census Tract 422, Kings County, New York",59904,3535,156,104,1502,705,2033,2390
36047042300,"Census Tract 423, Kings County, New York",67056,3978,118,256,1986,2313,1992,2218
36047042400,"Census Tract 424, Kings County, New York",61005,3480,848,5,1650,904,1830,1829
36047042500,"Census Tract 425, Kings County, New York",77477,3338,91,408,1530,2043,1808,1413
36047042600,"Census Tract 426, Kings County, New York",49954,4302,1857,81,2359,686,1943,1641
36047042700,"Census Tract 427, Kings County, New York",59965,4896,263,370,2405,2914,2491,2281
36047042800,"Census Tract 428, Kings County, New York",60708,3785,1265,55,2015,120,1770,2147
36047042900,"Census Tract 429, Kings County, New York",50170,5441,282,490,2766,3639,2675,2183
36047043000,"Census Tract 430, Kings County, New York",38160,3283,1408,0,1699,366,1584,1643
36047043100,"Census Tract 431, Kings County, New York",57111,4694,304,133,2297,2790,2397,2317
36047043200,"Census Tract 432, Kings County, New York",63063,4341,1814,45,2150,816,2191,1651
36047043300,"Census Tract 433, Kings County, New York",24766,3628,141,694,1951,2757,1677,914
36047043400,"Census Tract 434, Kings County, New York",49013,3537,1387,124,1853,446,1684,1887
36047043500,"Census Tract 435, Kings County, New York",66923,5115,192,1036,2392,3752,2723,1056
36047043600,"Census Tract 436, Kings County, New York",57901,5059,1269,60,2641,793,2418,3006
36047043700,"Census Tract 437, Kings County, New York",59474,5696,98,1507,2685,3431,3011,2114
36047043800,"Census Tract 438, Kings County, New York",46167,2620,253,53,1352,132,1268,2086
36047043900,"Census Tract 439, Kings County, New York",42148,3515,161,974,1711,2228,1804,1020
36047044000,"Census Tract 440, Kings County, New York",51420,2809,111,89,1416,337,1393,2450
36047044100,"Census Tract 441, Kings County, New York",47754,5124,728,693,2624,3150,2500,1844
36047044200,"Census Tract 442, Kings County, New York",76046,2945,31,2,1475,44,1470,2551
36047044300,"Census Tract 443, Kings County, New York",50263,4587,822,212,2169,2556,2418,1844
36047044400,"Census Tract 444, Kings County, New York",51975,3589,140,232,1892,309,1697,3140
36047044500,"Census Tract 445, Kings County, New York",69414,4729,359,449,2324,3128,2405,1309
36047044600,"Census Tract 446, Kings County, New York",63708,2092,882,26,1067,397,1025,955
36047044700,"Census Tract 447, Kings County, New York",46738,2545,97,561,1389,1319,1156,1099
36047044800,"Census Tract 448, Kings County, New York",60921,1698,171,0,882,94,816,1408
36047044900,"Census Tract 449, Kings County, New York",22102,3210,119,1704,1521,1715,1689,819
36047045000,"Census Tract 450, Kings County, New York",NA,566,16,6,279,25,287,538
36047045200,"Census Tract 452, Kings County, New York",82532,2514,60,21,1300,63,1214,2433
36047045300,"Census Tract 453, Kings County, New York",51953,2578,24,691,962,1162,1616,1153
36047045400,"Census Tract 454, Kings County, New York",66364,1681,87,28,751,80,930,1385
36047045600,"Census Tract 456, Kings County, New York",41806,2170,445,25,1106,108,1064,1242
36047045800,"Census Tract 458, Kings County, New York",86250,1324,0,32,600,154,724,1267
36047046000,"Census Tract 460, Kings County, New York",61023,3131,1064,83,1548,321,1583,1687
36047046201,"Census Tract 462.01, Kings County, New York",29830,2281,337,15,1312,70,969,1876
36047046202,"Census Tract 462.02, Kings County, New York",61250,1942,58,24,1051,177,891,1698
36047046400,"Census Tract 464, Kings County, New York",57283,2638,54,88,1177,121,1461,2391
36047046800,"Census Tract 468, Kings County, New York",72750,2168,49,6,1042,41,1126,2082
36047047000,"Census Tract 470, Kings County, New York",61033,2603,71,3,1165,134,1438,2453
36047047200,"Census Tract 472, Kings County, New York",60054,2769,19,31,1424,8,1345,2711
36047047400,"Census Tract 474, Kings County, New York",38813,2385,0,4,1039,23,1346,2351
36047047600,"Census Tract 476, Kings County, New York",35474,3385,26,78,1474,38,1911,3260
36047047700,"Census Tract 477, Kings County, New York",142250,3835,292,44,2005,373,1830,3286
36047047800,"Census Tract 478, Kings County, New York",48040,3666,263,0,1828,500,1838,3117
36047048000,"Census Tract 480, Kings County, New York",32056,3675,381,124,1616,1119,2059,2338
36047048100,"Census Tract 481, Kings County, New York",91528,2967,351,159,1523,887,1444,2106
36047048200,"Census Tract 482, Kings County, New York",47569,4885,1515,239,2466,840,2419,2765
36047048400,"Census Tract 484, Kings County, New York",50833,5574,709,420,2545,524,3029,3909
36047048500,"Census Tract 485, Kings County, New York",103173,2289,52,160,882,792,1407,1510
36047048600,"Census Tract 486, Kings County, New York",50250,3200,1400,49,1553,764,1647,1173
